TimelineID,Month,SnapshotDate,TotalApps,TotalInstances,CriticalCount,OverConsumptionCount,OKCount,UnderConsumptionCount,CorrectedCount,CorrectionPct
TL-2025-03,2025-03,2025-03-01,15,0,0,0,0,0,0,0.0
TL-2025-03,2025-03,2025-03-31,15,0,0,0,0,0,0,0.0
TL-2025-04,2025-04,2025-04-30,15,0,0,0,0,0,0,0.0
TL-2025-05,2025-05,2025-05-30,15,0,0,0,0,0,0,0.0
TL-2025-06,2025-06,2025-06-29,15,0,0,0,0,0,0,0.0
TL-2025-07,2025-07,2025-07-29,15,0,0,0,0,0,0,0.0
TL-2025-08,2025-08,2025-08-28,15,0,0,0,0,0,0,0.0
TL-2025-09,2025-09,2025-09-27,15,0,0,0,0,0,0,0.0
TL-2025-10,2025-10,2025-10-27,15,7,3,0,4,0,0,0.0
TL-2025-11,2025-11,2025-11-26,15,15,6,0,8,1,1,6.7
TL-2025-12,2025-12,2025-12-26,15,22,9,0,11,2,1,4.5
TL-2026-01,2026-01,2026-01-25,15,28,10,0,15,3,1,3.6
TL-2026-02,2026-02,2026-02-24,15,38,17,0,18,3,4,10.5
TL-2026-03,2026-03,2026-03-26,15,51,20,0,26,5,5,9.8
